Page ID,Page name,Disclaimer,Amount spent (EUR)
719180131490579,Darbo partija Marijampolė,Vaida Giraitytė-Juškevičienė,≤100
1559833194309241,Marijampolės meras Povilas Isoda,Lietuvos socialdemokratų partija,≤100
93535661889,TV3 televizija,TV3 televizija,≤100
187376358082683,Marijampolės socialdemokratai,LSDP Marijampolės skyrius,≤100
258210464254610,Elmenhorster,These ads ran without a disclaimer,≤100
76783564232,Europos Komisijos atstovybė Lietuvoje,Europos Komisijos atstovybė Lietuvoje,≤100
103847712206,„Ekonomikos ir politikos žurnalas Valstybė“,Demokratijos plėtros fondas VšĮ,≤100
102668075081968,"Фонд премии ""Генезис""",These ads ran without a disclaimer,≤100
198404080183024,Swedbank Lietuvoje,„Swedbank“ Lietuvoje,≤100
738507292917894,Peticijos.lt,"Peticijos, VšĮ",≤100
943920815656380,Laisvos visuomenės institutas,Laisvos visuomenės institutas,≤100
187111975181,Knygynų tinklas „Pegasas“,Pegasas,≤100
111530930306854,Nacionalinis susivienijimas,Nacionalinis susivienijimas,≤100
105263208546786,Sveikatos teisės institutas STI,"Sveikatos teisės institutas, VšĮ",≤100
54779960819,United Nations,United Nations with Facebook Ad Credits,≤100
271442299683442,Tušti narvai,VšĮ Tušti narvai,≤100
81004804444,Liberalai,Liberalai,≤100
100235096255649,Jovydas Juocevičius,Jovydas Juocevičius,≤100
630229464086126,Lindström,Lindström,≤100
178362315106,European Parliament,European Parliament,≤100
1594911447487724,Žurnalistų etikos inspektoriaus tarnyba,Žurnalistų etikos inspektoriaus tarnyba,≤100
63044235866,UN Climate Change,UN Climate Change with Facebook Ad Credits,≤100
106094655001371,Robertas Kaunas,Robertas Kaunas,≤100
1729585600594890,Andrius Bautronis,Andrius Bautronis,≤100
1052857804792527,Asta Kubilienė LR Seimo narė,Asta Kubilienė,≤100
287613331259579,M.G.Maksimalietis,M.G.Maksimalietis,≤100
161849889003,Tolerantiško jaunimo asociacija,Tolerantiško jaunimo asociacija,≤100
125379923659,Valdovų Rūmai,Palace of the Grand Dukes of Lithuania (Nacionalinis muziejus Lietuvos Didžiosios Kunigaikštystės valdovų rūmai),≤100
100681504827744,Alytaus krašto medžiotojai,Alytaus medžiotojų ir žvejų draugija,≤100
460195401047293,Enefit Lietuva,Enefit Lietuva,≤100
785790681461996,UŽ ALYTŲ,UŽ ALYTŲ,≤100
136670833106241,LTPF - Lietuvos teisėsaugos pareigūnų federacija,LTPF,≤100
1846196185665307,Eurostat,These ads ran without a disclaimer,≤100
126578638039470,Myriad Capital,"FMĮ ""Myriad capital"", UAB",≤100
1196196390526965,Facebook Surveys,These ads ran without a disclaimer,≤100
100725611563534,Eastory,These ads ran without a disclaimer,≤100
111021631835831,Paulius Sungaila,These ads ran without a disclaimer,≤100
