Page ID,Page name,Disclaimer,Amount spent (USD)
202378653849689,Darío Macas,Roberto Francisco Armijos Hernandez,≤100
171870950030850,Teodoro Gallegos Salem,Benigno Teodoro Gallegos Salem,≤100
100528545254760,Danny Gámez Ontaneda,Danny Gabriel Gamez Ontaneda,≤100
387524221281304,Ministerio Turismo Ecuador,Alexandra Montero,≤100
105896849068225,Great job,These ads ran without a disclaimer,≤100
187653561280861,Josué Sánchez,Josué Sánchez,≤100
107735775460492,Infórmate Ecuador,Informate Ecuador,≤100
486957511486639,Liderazgo Capacitación Ecuador,These ads ran without a disclaimer,≤100
81089852182,U.S. Embassy Ecuador,Embassies: U.S. Embassy Ecuador,≤100
108657847619569,Goberna Ecuador,Goberna Ecuador,≤100
105539772365757,Mentordemy,Mentordemy,≤100
102823644882450,Pedro Pablo Moran 2023,Pedro Pablo Moran Marchan,≤100
1025791137510876,Juan Fernando Flores,Juan Fernando Flores Arroyo,≤100
101056676141616,Asesoría Política - Goberna Ecuador,Goberna Ecuador S.A.S,≤100
234235390814565,Revista DATTA,Revista DATTA,≤100
495225060514172,Degso,Gabriela Veronica Chango Hermoza,≤100
282373640238850,Marcos Suárez,Marcos Josue Suarez Altamirano,≤100
100757715919347,Atunec,Miguel Benavides,≤100
338317230108140,Autoridad de Tránsito y Vigilancia de Samborondón,Autoridad de Tránsito y Vigilancia de Samborondón,≤100
118171033143601,Celestino Chumpi Asambleísta,Celestino Chumpi Asambleísta,≤100
105258611081363,Edson Alvarado López,Edson Cristobal Alvarado Lopez,≤100
101765851519633,Martha Escobar Carbonelly,Martha Escobar Carbonelly,≤100
103239179205171,Filosofía al Hueso,These ads ran without a disclaimer,≤100
