Page ID,Page name,Disclaimer,Amount spent (COP)
130834367164,Red PaPaz,Red PaPaz,1293
131753023639902,Aldemar Alfaro,Aldemar Alfaro Rivero,775
101875106251616,Partido Verde Oxígeno,Partido Verde Oxigeno,599
102143071616787,Goberna Colombia,Goberna,466
170633243101916,Alexander Serrato,Alexander Serrato,225
167222580002790,Clara Luz Roldan Gonzalez,Clara Luz Roldán,174
110633531919902,El Empresario De Moda,El Empresario De Moda,172
118514924593739,Tanque Seco,Tanque seco,140
969143216462972,Felipe Cañizalez,Felipe Cañizalez,140
814872645274595,Alicia Peñaranda - La POPlitóloga,Alicia Peñaranda - La POPlitóloga,131
101391859627743,Colombia sin miedo,Colombia sin miedo,114
482002058626250,Surany Arboleda Arias,Surany Arboleda Arias,112
838927469815494,Diana Diago,Diana Diago,107
108202298520665,Tatiana Safar,La Digital,105
110036132129269,Alerta Noticias,Alerta Noticias,≤100
509529099396147,Héctor Rangel,Héctor Rangel,≤100
1400280116941194,Fabian Diaz,Fabian Diaz,≤100
103596816009903,Voy con Leo,Voy con Leo,≤100
100801257933323,Jesus Trujillo Torres,Jesus Trujillo Torres,≤100
338089203596822,Santinarvaezl,Santiago Narváez Lombana,≤100
576586942728605,Jorge  Fuerbringer FanPage,Jorge  Fuerbringer FanPage,≤100
107235559062650,Esu.clic,IOT LATAM S A S,≤100
569978373130700,Andrés Lizarralde Henao,Andrés Lizarralde Henao,≤100
1913101528996718,Congreso Nacional de Marketing Político,Congreso Nacional de Marketing Político,≤100
103428739334753,"José Alfredo ""El Cura"" Ordóñez","José Alfredo ""El Cura"" Ordóñez",≤100
200207836752561,Opinión Caribe,Opinión Caribe,≤100
1737937156478529,Carlos Felipe López López,Carlos Felipe López López,≤100
626538870727500,Felipe Urrea,Felipe Urrea,≤100
116544396862942,Unión Legal y Tributaria S. A. S,Unión Legal y Tributaria S. A. S,≤100
1766366823576506,La Paz Querida,La Paz Querida,≤100
597006313643580,Gobernación del Valle del Cauca,Gobernación Valle del Cauca,≤100
114778278552099,Octavio Cardona León,Octavio Cardona León,≤100
100319211712051,Walter Salas,Walter Salas,≤100
113389547103519,LATAM RADIO,Thomas Balaguera,≤100
803708179715377,Alcaldía de Jardín: Por Amor a Jardín - Bienestar para Todos,These ads ran without a disclaimer,≤100
115711184745624,Barbacoas Cuento Contigo,These ads ran without a disclaimer,≤100
101170393279528,Rodrigo Villalba Mosquera,Rodrigo Villalba Mosquera,≤100
108202298520665,Tatiana Safar,These ads ran without a disclaimer,≤100
117823701712681,Cedinsi Escuela de Entrenamiento en Herramientas Digitales,These ads ran without a disclaimer,≤100
115336006530914,Jacqueline Henao Naranjo - Construyendo sueños desde la educación,Jacqueline Henao Naranjo - Construyendo sueños desde la educación,≤100
1529335724037224,Aeropuerto del Café,INTUAL,≤100
112839498316414,davidsilvapra,These ads ran without a disclaimer,≤100
102154447983721,Edwin Ramírez Concejal,Edwin Ramírez Concejal,≤100
1519510178128827,Carlos Andrés Hernández Zuluaga,Carlos Andrés Hernández Zuluaga,≤100
116603861327799,alex_sa.c,These ads ran without a disclaimer,≤100
106924857780633,Be Bloomers,These ads ran without a disclaimer,≤100
304971412943967,Instituto de Zumpango en Estudios Superiores en Criminalística IZESC,These ads ran without a disclaimer,≤100
102795885694138,milokibullz,These ads ran without a disclaimer,≤100
492482161117496,Coristas de San Nicolás,These ads ran without a disclaimer,≤100
