Page ID,Page name,Disclaimer,Amount spent (EUR)
122344957784863,Amnistia Internacional Portugal,Amnistia Internacional Portugal,142
174665665924142,IKEA,IKEA,≤100
347829038571812,Aldeias de Crianças SOS Portugal,Aldeias de Crianças SOS Portugal,≤100
901697383231864,Contas Connosco,Contas Connosco,≤100
587845577964346,Médicos Sem Fronteiras,Médicos Sem Fronteiras,≤100
197936253581591,Fundação Francisco Manuel dos Santos,Fundação Francisco Manuel dos Santos,≤100
178362315106,European Parliament,European Parliament,≤100
163880252839,Deco Proteste,DECO PROTESTE,≤100
480077632487005,Daikin Portugal,Daikin Portugal S.A.,≤100
107898832590939,European Commission,European Commission,≤100
170555122972051,Parlamento Europeu - Gabinete em Portugal,Parlamento Europeu Gabinete em Portugal,≤100
587528135018441,Casa do Impacto,Santa Casa da Misericórdia de Lisboa,≤100
145359705502132,Pordata,PORDATA,≤100
250305668489402,Professor Kenny,These ads ran without a disclaimer,≤100
1709939012603940,Ricardo Baptista Leite,Ricardo Baptista Leite,≤100
182225728502109,Opus Diversidades,Opus Diversidades,≤100
263534167013468,Câmara Municipal de Odivelas,Câmara Municipal de Odivelas,≤100
129586383695,Município de Oeiras,Município de Oeiras,≤100
107252064043989,Luís Montenegro,Partido Social Democrata,≤100
173112366078072,Fundação Luso-Americana,Fundação Luso-Americana para o Desenvolvimento,≤100
145751788810743,Maria da Graça Carvalho,Grupo do Partido Popular Europeu,≤100
179851552092632,Manuel Portugal Lage,Manuel Portugal Lage,≤100
156244977755673,Torres Vedras CM,Município de Torres Vedras,≤100
101920814806371,Casa dos livros,Casa dos livros,≤100
126509981274614,Partido Socialista Europeu,Partido Socialista Europeu,≤100
48046820798,Veeam Software,These ads ran without a disclaimer,≤100
103930608502,Real Associação de Lisboa,Real Associação de Lisboa,≤100
771876069610385,Central Pharma Group,Central Pharma Group,≤100
481847405755917,Teva Portugal,Teva Portugal,≤100
85728663404,Standvirtual,Standvirtual,≤100
568028987050017,Livros com História,Livros com História,≤100
651837195289903,Power Dot Portugal,Power Dot Portugal,≤100
104593595986605,angela.rijo,These ads ran without a disclaimer,≤100
238855579966,Lua de Papel,Leya,≤100
100540912157837,Palácio da Leitura,Palácio da Leitura,≤100
391346758158809,Livros aos molhos,Livros aos molhos,≤100
144709575593854,EESC - European Economic and Social Committee,EESC - European Economic and Social Committee,≤100
325947881481785,Mais Cofidis,Mais Cofidis,≤100
412322482264070,Nespresso,Nespresso,≤100
967655839936264,HJDP,These ads ran without a disclaimer,≤100
527351247377965,European Committee of the Regions,European Committee of the Regions,≤100
101271588687949,Ariston Portugal,These ads ran without a disclaimer,≤100
267353906619818,Mr. Gugu & Miss Go,These ads ran without a disclaimer,≤100
180431522657278,Plataforma Media,These ads ran without a disclaimer,≤100
1040873502644920,ZERO - Associação Sistema Terrestre Sustentável,ZERO - Associação Sistema Terrestre Sustentável,≤100
765130780185978,Bairro em Festa,These ads ran without a disclaimer,≤100
582360601854799,Manuseado,Manuseado,≤100
220749221837897,Francisco Jesus,Francisco Jesus,≤100
101360765001943,Iniciativa Liberal - Gondomar,Iniciativa Liberal Gondomar,≤100
101668682611759,Благодійний фонд A36,These ads ran without a disclaimer,≤100
2904975949728291,Catarina Taborda,These ads ran without a disclaimer,≤100
457523737635438,International Hospital Federation,These ads ran without a disclaimer,≤100
100362052940730,U-shirt,These ads ran without a disclaimer,≤100
102174506036166,rodolphocavalini,These ads ran without a disclaimer,≤100
102998939765184,Persian bms,These ads ran without a disclaimer,≤100
101607198167304,Medthority,These ads ran without a disclaimer,≤100
656462304404326,Служба розшуку дітей,These ads ran without a disclaimer,≤100
130340509967548,Camel Investments,These ads ran without a disclaimer,≤100
110010982106675,Spire Corporation,These ads ran without a disclaimer,≤100
104118352676122,박필규,These ads ran without a disclaimer,≤100
102635655320437,Number Match - Logic Puzzle Game,These ads ran without a disclaimer,≤100
205332123261241,Знакомства RusDate,These ads ran without a disclaimer,≤100
110130308475134,Voecheap,These ads ran without a disclaimer,≤100
128950707471935,Ugreen - South America,These ads ran without a disclaimer,≤100
