Page ID,Page name,Disclaimer,Amount spent (USD)
81089852182,U.S. Embassy Ecuador,Embassies: U.S. Embassy Ecuador,≤100
167878593236712,UNICEF en español,These ads ran without a disclaimer,≤100
857378244370245,BanEcuador,BanEcuador,≤100
387524221281304,Ministerio Turismo Ecuador,Alexandra Montero,≤100
486957511486639,Liderazgo Capacitación Ecuador,These ads ran without a disclaimer,≤100
1025791137510876,Juan Fernando Flores,Juan Fernando Flores Arroyo,≤100
105539772365757,Mentordemy,Mentordemy,≤100
1428310440732616,Sebastián Cevallos,Rodrigo Sebastian Cevallos Vivar,≤100
112828136753093,Augusto Guamán Rivera,Clemente Dennys Paz Becerra,≤100
101056676141616,Asesoría Política - Goberna Ecuador,Goberna Ecuador S.A.S,≤100
112981504211534,Luis Zambrano - Servicios de Ingeniería & Compras Públicas.,Luis Zambrano - Servicios de Ingeniería & Compras Públicas.,≤100
2497449046945249,El Purgatorio,Denisse Murillo Alvarado,≤100
152914224736727,Banco Mundial,These ads ran without a disclaimer,≤100
1542681899327417,IEI - Instituto de Estudios Internacionales,Hectorfabricio Gavidia Banegas,≤100
103189304984470,Ab. Miguel Ruiz,Miguel Ruiz,≤100
237469833662018,Observatorio Judicial Ecuador,Ciudadanía y Desarrollo,≤100
117237589684873,Coalición Independencia,Álex Xavier Medina Urquizo,≤100
310082752437679,Alvaro Reyes,These ads ran without a disclaimer,≤100
108657847619569,Goberna Ecuador,Goberna Ecuador,≤100
190230058471029,Ofer Cohen,These ads ran without a disclaimer,≤100
903577146395715,Toronto Centre,These ads ran without a disclaimer,≤100
102334429405192,descansocreativo,These ads ran without a disclaimer,≤100
124193294267113,Medicable,These ads ran without a disclaimer,≤100
100365208581323,Revolución Eñame,These ads ran without a disclaimer,≤100
121350964566751,DHL Motorsports,These ads ran without a disclaimer,≤100
