Page ID,Page name,Disclaimer,Amount spent (EUR)
100444041691285,LSDM - Lidhja Socialdemokrate e Maqedonisë,СДСМ,≤100
101754962766151,Рацин.мк,Рацин.мк,≤100
324459714339171,Civil MK,Civil MK,≤100
100954761298205,frontline.mk,frontline.mk,≤100
100746718435265,Fatmir Bytyqi,Fatmir Bytyqi,≤100
1677572455714659,Јорго Огненовски,Jorgo Ognenovski,≤100
102508525484365,Марко Колев,Марко Колев,≤100
445469652211682,Bujar Osmani,Bujar Osmani,≤100
102860779377395,Само кажувам,Само кажувам,≤100
216014178764093,Timco Mucunski,Timco Mucunski,≤100
255990845327431,Левица,Левица / E majta / Levica,≤100
1482737048633478,Институт за комуникациски студии ИКС / Institute of Communication Studies,Институт за комуникациски студии,≤100
101519168409673,Dimitar Kovacevski,СДСМ,≤100
112622660371058,Гласни идеи,Гласни идеи,≤100
106175234344995,Зоран Коцевски,Zoran Kocevski,≤100
192483774872658,Демократи,Демократи,≤100
