Page ID,Page name,Disclaimer,Amount spent (USD)
171870950030850,Teodoro Gallegos Salem,Benigno Teodoro Gallegos Salem,≤100
387524221281304,Ministerio Turismo Ecuador,Alexandra Montero,≤100
187653561280861,Josué Sánchez,Josué Sánchez,≤100
105896849068225,Great job,These ads ran without a disclaimer,≤100
108657847619569,Goberna Ecuador,Goberna Ecuador,≤100
105539772365757,Mentordemy,Mentordemy,≤100
101056676141616,Asesoría Política - Goberna Ecuador,Goberna Ecuador S.A.S,≤100
486957511486639,Liderazgo Capacitación Ecuador,These ads ran without a disclaimer,≤100
81089852182,U.S. Embassy Ecuador,Embassies: U.S. Embassy Ecuador,≤100
102823644882450,Pedro Pablo Moran 2023,Pedro Pablo Moran Marchan,≤100
495225060514172,Degso,Gabriela Veronica Chango Hermoza,≤100
1025791137510876,Juan Fernando Flores,Juan Fernando Flores Arroyo,≤100
118171033143601,Celestino Chumpi Asambleísta,Celestino Chumpi Asambleísta,≤100
312507845986423,El Vocero,El Vocero,≤100
100757715919347,Atunec,Miguel Benavides,≤100
103239179205171,Filosofía al Hueso,These ads ran without a disclaimer,≤100
