Page ID,Page name,Disclaimer,Amount spent (EUR)
602299559907363,Médecins du Monde Luxembourg,Médecins du Monde Luxembourg,≤100
21710789873,déi gréng,groupe parlementaire déi gréng,≤100
115916035102253,ADR  - Alternativ Demokratesch Reformpartei,Michel Lemaire,≤100
2139886662711123,Marc Goergen - Député,Piratepartei Lëtzebuerg,≤100
67370457805,Greenpeace Luxembourg,Fondation Greenpeace Luxembourg,≤100
56016549775,CSV,CSV-Fraktioun,≤100
2403585623242400,Ministère de l'Intérieur Luxembourg,Ministère de l'Intérieur Luxembourg,≤100
183148710560,Piraten Lëtzebuerg,Piratepartei Lëtzebuerg,≤100
1527472604152597,Mouvement Ecologique,Mouvement Ecologique,≤100
1933096830349891,Reporter,Reporter.lu,≤100
338630389482201,Luxemburger Wort,These ads ran without a disclaimer,≤100
127971680591205,Lëtzebuerger Journal,Lëtzebuerger Journal,≤100
110312638572826,"Yann Pellé ,Kandidat vir Gemengewalen zu Colmar-Berg",Yann Pellé,≤100
234678520217447,"Ministère de l'Agriculture, de la Viticulture et du Développement rural",Landwirtschaftsportal,≤100
47216059667,LSAP,Groupe parlementaire Socialiste - LSAP,≤100
178362315106,European Parliament,European Parliament,≤100
209584699504583,DP Walfer,DP Walfer,≤100
1806960699520771,Zesumme fir Leideleng,Zesumme fir Leideleng,≤100
101304338120071,ADR Esch-Uelzecht,Kevin Serafini,≤100
63044235866,UN Climate Change,UN Climate Change with Facebook Ad Credits,≤100
147547541961576,Council of the European Union,Council of the European Union,≤100
308594226286844,MENTAL.lu,These ads ran without a disclaimer,≤100
498556763554039,Ville de Differdange,These ads ran without a disclaimer,≤100
21506277966,Acronis,These ads ran without a disclaimer,≤100
