Page ID,Page name,Disclaimer,Amount spent (EUR)
101519168409673,Dimitar Kovacevski,Димитар Ковачевски,≤100
324459714339171,Civil MK,Civil MK,≤100
829371753904952,Hristijan Mickoski,ВМРО-ДПМНЕ,≤100
1094158057369124,Stefan Bogoev,Стефан Богоев,≤100
563620440357466,НВО Инфоцентар,NVO Infocentar,≤100
148427235188637,СДСМ - Социјалдемократски сојуз на Македонија,СДСМ - Социјалдемократски сојуз на Македонија,≤100
1677572455714659,Јорго Огненовски,Jorgo Ognenovski,≤100
131094353592811,Здружение на граѓани Медиа Плус,Trajce Gogov,≤100
100954761298205,frontline.mk,frontline.mk,≤100
196420997043730,ДОМ,ДОМ,≤100
255990845327431,Левица,Левица / E majta / Levica,≤100
335085593528267,Sloboden Pecat,Sloboden Pecat,≤100
192483774872658,Демократи,Демократи,≤100
100746718435265,Fatmir Bytyqi,Fatmir Bytyqi,≤100
191683947531941,medium.edu.mk,Институт за комуникациски студии,≤100
149032011830930,Centar.mk,Centar.mk,≤100
