Page ID,Page name,Disclaimer,Amount spent (USD)
101941211367908,Elisa Rosales,Elisa Rosales,≤100
639066179457841,José Safie,José Safie,≤100
555664734619459,Movimiento Social Comunitario,Movimiento Social Comunitario,≤100
108213030904997,Ricardo Rivas,Ricardo Rivas,≤100
211001456327934,Walter Alemán,Walter Alemán,≤100
102710179215780,Giovanny Zaldaña,Giovanny Zaldaña,≤100
103498621470727,Yiseel Barahona,Yiseel Barahona,≤100
116335024768924,RC Servidor Público,RC Servidor Público,≤100
102681318100638,Juan Carlos Zepeda Marroquín,Juan Carlos Zepeda Marroquín,≤100
269601400112823,Raúl Chamagua,Raúl Chamagua,≤100
107232461030664,Mauricio Ortiz,Mauricio Ortiz,≤100
114686059961054,Josué Martínez,Josué Martínez,≤100
102029404705507,Salvador Chacón,Salvador Chacón,≤100
890916994384759,Rafael Arévalo,Rafael Arévalo,≤100
114692096956530,Ileana Rodríguez SV,Ileana Rodríguez SV,≤100
101978024846440,Evelyn Merlos,Evelyn Merlos,≤100
256003108354261,René Dorath,René Dorath,≤100
102401164853252,Cecilia Rivera,Cecilia Rivera,≤100
100157568420698,Dania González,Dania González,≤100
102199816236065,Herbert Esmahan,herbert esmahan,≤100
100480158459075,Ricardo Godoy,Ricardo Godoy,≤100
101710084928516,Dr. Bryan Orellana,Dr. Bryan Orellana,≤100
106850220826010,Erick Garcia,Erick Garcia,≤100
105265629284095,Isabel de Guzman,ANTONIOKARLITA2012,≤100
488797751155106,Precisión de El Salvador Topografia Integral,These ads ran without a disclaimer,≤100
107990917616047,Saúl Mancía,Saúl Mancía,≤100
100478844819736,Alexander Guardado,Alexander Guardado,≤100
103284174832570,Oliverio Zepeda,Oliverio Zepeda,≤100
2393165234062729,Dennis Salinas,Dennis Salinas,≤100
485683871460160,Silvia Ostorga,Silvia Ostorga,≤100
106722117734040,Games Qwik,These ads ran without a disclaimer,≤100
1763377910580214,Suecy Callejas Estrada,Suecy Callejas Estrada,≤100
349791962189803,The Bridesblush Social,These ads ran without a disclaimer,≤100
104709122241898,Capitán P.A Oscar Oliverio Gomez Alcalde Municipal-ATACO,Capitán P.A Oscar Oliverio Gomez Alcalde Municipal-ATACO,≤100
147858435252169,Embajada de los Estados Unidos en El Salvador,Embajada de Estados Unidos en El Salvador,≤100
622608421724126,Roxana López,These ads ran without a disclaimer,≤100
109267975517064,Panel y Capacitación de Ingenierías,These ads ran without a disclaimer,≤100
483561941654780,Evelyn Cotto,Evelyn Cotto,≤100
113924948408121,,These ads ran without a disclaimer,≤100
304971412943967,Instituto de Zumpango en Estudios Superiores en Criminalística IZESC,These ads ran without a disclaimer,≤100
608650595820049,The Conqueror Challenges,These ads ran without a disclaimer,≤100
