Page ID,Page name,Disclaimer,Amount spent (EUR)
101519168409673,Dimitar Kovacevski,СДСМ,≤100
112622660371058,Гласни идеи,Гласни идеи,≤100
106175234344995,Зоран Коцевски,Zoran Kocevski,≤100
192483774872658,Демократи,Демократи,≤100
102860779377395,Само кажувам,Само кажувам,≤100
1482737048633478,Институт за комуникациски студии ИКС / Institute of Communication Studies,Институт за комуникациски студии,≤100
400497373674524,СамоПрашај.мк,Institut za komunikaciski studii,≤100
1677572455714659,Јорго Огненовски,Jorgo Ognenovski,≤100
255990845327431,Левица,Левица / E majta / Levica,≤100
191683947531941,medium.edu.mk,Институт за комуникациски студии,≤100
102860779377395,Само кажувам,Slavcho Nedelkovski,≤100
100746718435265,Fatmir Bytyqi,Fatmir Bytyqi,≤100
