Page ID,Page name,Disclaimer,Amount spent (EUR)
53838654385,PTB,PTB,210
43883239276,Bruxelles Environnement Leefmilieu Brussel,Bruxelles Environnement Leefmilieu Brussel,157
111434905112353,Assemblée citoyenne pour le climat - Burgerraad voor het klimaat,Bruxelles Environnement,105
181975318662681,Raoul Hedebouw,PTB,104
1480604288895159,N-VA Brussels Hoofdstedelijk Gewest,Nieuw-Vlaamse Alliantie,101
73232790238,Greenpeace Belgium,Greenpeace Belgium,≤100
101507219530750,We Need To Talk - Belgium,We Need To Talk,≤100
1016780215187655,Rachid Azaoum,Rachid Azaoum,≤100
53668151866,Open Vld,Open Vld,≤100
107781141962077,Nadia Naji,Groen,≤100
78565055764,Plan International Belgium,Plan International Belgium,≤100
60589646095,UNICEF Belgium,UNICEF Belgium,≤100
1848893498684520,Santander Consumer Bank Belgium,Santander Consumer Bank,≤100
108820070638334,Les Engagés - Mouvement participatif,Les Engagés,≤100
1767703483548430,The Barn Bio Market - Brussels,The Barn Bio Market,≤100
109303661918715,Yvan Verougstraete,Les Engagés,≤100
54970503767,PVDA,PVDA,≤100
933317623465246,Recupel,Recupel,≤100
382142342334084,USR Belgia,Partidul Uniunea Salvați România,≤100
365952313470327,Médecins Du Monde Belgique,Médecins du Monde,≤100
144986545155,Groen Brussel,Groen Brussel,≤100
1498177693625569,FGTB Gardiennage,FGTB Gardiennage,≤100
254275311677180,FGTB Nettoyage,FGTB Nettoyage,≤100
408119956043956,Beci Brussels,Beci Brussels,≤100
536040200159049,FGTB Coiffure,FGTB Coiffure,≤100
236330169511,MR - Mouvement Réformateur,MR - Mouvement Réformateur,≤100
234207847248569,Acteurs de l'économie sociale,ConcertES,≤100
174309193235171,FGTB Construction,FGTB Construction,≤100
101649348369099,Anne-Charlotte d'Ursel,Anne-Charlotte d'Ursel,≤100
111723720244690,Tinne Van der Straeten,Groen,≤100
38296327361,Ecolo,Ecolo,≤100
386211174868638,Comac étudiants,Comac,≤100
115314481819170,European Citizen Action Service (ECAS),European Citizen Action Service (ECAS),≤100
106265382759554,Jong N-VA,Jong N-VA,≤100
318423514835874,Caritas International.be,Caritas International,≤100
204227142940013,Bulex,Bulex,≤100
234267906711043,Christophe De Beukelaer,Les Engagés,≤100
556347961236170,FGTB Titres-services,FGTB Titres-services,≤100
487052481356344,Autonomia,AUTONOMIA asbl,≤100
2077348495667437,Holcim Belgium,Holcim Belgium,≤100
178362315106,European Parliament,European Parliament,≤100
110049460908305,Zakia Khattabi,Ecolo,≤100
117277268286025,Fairtrade Belgium,Fairtrade Belgium,≤100
234267906711043,Christophe De Beukelaer,Christophe Annick De Beukelaer,≤100
408479362538591,Vlaams Parlement,Vlaams Parlement,≤100
102084208341677,Sarah Schlitz,Ecolo,≤100
616252382042509,ABVV Bouw,ABVV Bouw,≤100
103095447779775,Marianne - Belgique,PTB,≤100
585236024850280,Belgian Nuclear Forum,Tout sur le nucléaire / Alles over kernenergie,≤100
57253967150,Vooruit,Vooruit,≤100
84920854319,Groen,Groen,≤100
1747704655296978,Gladys Kazadi,Les Engagés,≤100
291699857688,EPP Group in the European Parliament,EPP Group in the European Parliament,≤100
173518112695794,DéFI,DéFI,≤100
470737366388554,Céline Fremault,Les Engagés,≤100
52997544531,cd&v,CD&V,≤100
1373626132778895,Jeremie Vaneeckhout,Groen,≤100
241175786018898,DéFI Bruxelles,DéFI,≤100
171238582919259,FGTB,FGTB - Fédération Générale du Travail de Belgique,≤100
56605856504,Vlaams Belang,Vlaams Belang,≤100
307462799313641,Equans BeLux,EQUANS BeLux,≤100
18908382290,Bozar,These ads ran without a disclaimer,≤100
231761930313004,Droits des Intérimaires,FGTB Intérim,≤100
187079152019,DéFI en Wallonie,DéFI,≤100
