Page ID,Page name,Disclaimer,Amount spent (EUR)
101519168409673,Dimitar Kovacevski,СДСМ,≤100
139287259432606,Artan Grubi,Artan Grubi,≤100
454337564602783,Ali Ahmeti,Bashkimi Demokratik për Integrim - BDI,≤100
1723716297849902,Ljupcho Nikolovski,Ljupcho Nikolovski,≤100
1677572455714659,Јорго Огненовски,Jorgo Ognenovski,≤100
100746718435265,Fatmir Bytyqi,Fatmir Bytyqi,≤100
192483774872658,Демократи,Демократи,≤100
106175234344995,Зоран Коцевски,Zoran Kocevski,≤100
100954761298205,frontline.mk,frontline.mk,≤100
101754962766151,Рацин.мк,Рацин.мк,≤100
139287259432606,Artan Grubi,Bashkimi Demokratik për Integrim - BDI,≤100
