Page ID,Page name,Disclaimer,Amount spent (EUR)
148427235188637,СДСМ - Социјалдемократски сојуз на Македонија,СДСМ,≤100
101519168409673,Dimitar Kovacevski,СДСМ,≤100
100954761298205,frontline.mk,frontline.mk,≤100
324459714339171,Civil MK,Civil MK,≤100
489378444428334,Brif.mk,Brif.mk,≤100
1482737048633478,Институт за комуникациски студии ИКС / Institute of Communication Studies,Институт за комуникациски студии,≤100
192483774872658,Демократи,Демократи,≤100
109452208789335,Трн.мк,Трн.мк,≤100
461034264336817,24инфо.мк,24инфо.мк,≤100
1677572455714659,Јорго Огненовски,Демократи,≤100
400497373674524,СамоПрашај.мк,Institut za komunikaciski studii,≤100
191683947531941,medium.edu.mk,Институт за комуникациски студии,≤100
114716014845582,Портал,Портал,≤100
330217683655885,Lokalno,Lokalno,≤100
971176269757392,Дома,Институт за комуникациски студии ИКС / Institute of Communication Studies,≤100
100746718435265,Fatmir Bytyqi,Fatmir Bytyqi,≤100
1723716297849902,Ljupcho Nikolovski,Ljupcho Nikolovski,≤100
216014178764093,Timco Mucunski,Timco Mucunski,≤100
66035312931,Zoran Zaev,Zoran Zaev,≤100
101754962766151,Рацин.мк,Рацин.мк,≤100
255990845327431,Левица,Левица / E majta / Levica,≤100
