Page ID,Page name,Disclaimer,Amount spent (EUR)
72249031214,Partido Popular,Partido Popular,1263
436925766384635,Fundació Cipriano García CCOO,Fundació Cipriano García CCOO,195
110744281664042,Sumar,Sumar,131
189318235003,PSOE,PSOE,123
78151799929,Amnistía Internacional España,Amnistía Internacional España,≤100
133044800622,Greenpeace España,Greenpeace España,≤100
20108693880,Oxfam Intermón,Oxfam Intermón,≤100
57845333112,Save the Children España,Save the Children España,≤100
114780085002861,Vota Si Quieres,Vota Si Quieres,≤100
132591756789822,Eroski,Eroski,≤100
467925280299505,Médicos Sin Fronteras España,Médicos Sin Fronteras España,≤100
110450198747205,Urna y toalla,Komons Collective SLL,≤100
187629584594801,AnimaNaturalis España,AnimaNaturalis Internacional,≤100
169915749735403,CEAR,CEAR,≤100
57973661707,WWF España,WWF España,≤100
178362315106,European Parliament,European Parliament,≤100
102311569588220,Demos Lab,Demos Lab,≤100
112538350301638,Ministerio de Igualdad,Ministerio de Igualdad,≤100
181012241939180,PSOE del Alto Aragón,PSOE del Alto Aragón,≤100
131231529742,Fundación Anesvad,Fundación Anesvad,≤100
306840072990831,Socios Cruz Roja,Socios Cruz Roja,≤100
213086312044776,Aldeas Infantiles SOS de España,Aldeas Infantiles SOS de España,≤100
106707916656,UPN - Unión del Pueblo Navarro,UPN,≤100
273617426014444,Tetra Pak España,Findasense,≤100
276999106249,Asociación Española Contra el Cáncer,Asociación Española Contra el Cáncer,≤100
107410381720374,Marea Deliberativa,Marea Deliberativa,≤100
815597255122198,Osoigo,Osoigo,≤100
113760931412,Acción contra el Hambre España,Acción contra el Hambre España,≤100
117887575012127,Leche Pascual,Leche Pascual,≤100
183202371808498,EH Bildu,EH Bildu,≤100
245741112112300,Ayuda En Acción,Ayuda En Acción,≤100
147468905314265,Partido Por un Mundo más Justo · M+J,Partido Por un Mundo más Justo · M+J,≤100
821902454827883,Wave Of Change,Wave of Change,≤100
582289161857444,Partido Popular de Barcelona,Partido Popular de Barcelona,≤100
120104454689359,MAPFRE,MAPFRE,≤100
47896270298,Iberostar,Iberostar Hotels & Resorts,≤100
1566161093633067,Santander Empresas,Santander España,≤100
121058217922496,CaixaForum,CaixaForum,≤100
111401102720,MÁSMÓVIL,These ads ran without a disclaimer,≤100
278435015522511,APOEL FC,These ads ran without a disclaimer,≤100
522165734963300,USR Spania și Portugalia,Partidul Uniunea Salvați România,≤100
11473659787,Educo,Educo,≤100
205020556374341,Bezoya,Bezoya,≤100
105664031745,UNRWA.es,UNRWA España,≤100
70020937349,SEO/BirdLife,SEO/BirdLife,≤100
139153867956,Fundació Pasqual Maragall,Fundación Pasqual Maragall,≤100
152984254897718,The Objective,The Objective Media SL,≤100
1758998197671486,Frente Obrero España,Comité pro-Frente Obrero España,≤100
741696855903082,Opositatest,Opositatest,≤100
175357075823543,CRIS contra el Cancer,CRIS contra el Cancer,≤100
463627663844039,En Comú Podem,En Comú Podem,≤100
158287010886289,Hay Derecho,Hay Derecho,≤100
216290708406257,Alianza por la Solidaridad,Alianza por la Solidaridad,≤100
100160149099313,Justice Initiative,Justice Initiative,≤100
711070775679625,Huawei Spain,Huawei Spain,≤100
101812872336696,Alivia,Fundación Alivia España,≤100
155704194479487,Salud por Derecho,Fundación Salud por Derecho,≤100
116987781644980,Shangay,Editorial IMANÍ,≤100
111892984250,Fundación World Vision España,Fundación World Vision International,≤100
176592142419661,Holaluz,HolaLuz.com,≤100
179666655404875,Comisión Europea en España,Comisión Europea en España,≤100
45817335745,Entreculturas,Entreculturas,≤100
216211528733118,TAPP Water,These ads ran without a disclaimer,≤100
107586119439370,CEPSA Corporate,Cepsa,≤100
471951929539262,Energia_Vital,Energia_Vital,≤100
111338062259889,Fundación Secretariado Gitano,Fundación Secretariado Gitano,≤100
100153748842445,Junior Report,Blue Globe Media S.L.,≤100
127925800618165,Socialists and Democrats Group in the European Parliament,Socialists and Democrats Group in the European Parliament,≤100
400445143359153,Fundació Silvestre,Fundació Silvestre,≤100
174696652583261,Fundación Aladina,Fundación Aladina,≤100
48426568814,Federación Socialista Asturiana FSA-PSOE,Federación Socialista Asturiana FSA-PSOE,≤100
114246916794630,En Asma el Cero Cuenta,Edelman Spain,≤100
125601904139182,Yorokobu,Yorokobu,≤100
364955387328772,Equalia,Equalia,≤100
386166375144833,Junts per Catalunya,Junts per Catalunya,≤100
101132249298796,HubSocial_fundlacaixa,HubSocial_fundlacaixa,≤100
178932215807163,Endesa Clientes,Findasense,≤100
764841146997173,En EPOC el Cero Cuenta,Edelman Spain,≤100
116136108464509,CaixaBank,CaixaBank,≤100
228545230545402,Manos Unidas,Manos Unidas,≤100
553983948100016,Músicos por la Salud,Fundación Social District (Músicos por la Salud),≤100
1035516339843936,Relevo Contigo,Relevo Contigo,≤100
302436570114382,Amigos de los Mayores,Amigos de los Mayores,≤100
100949746307943,Cima Universidad de Navarra,Cima Universidad de Navarra,≤100
116189118344,Fundación Igualdad Animal,Fundación Igualdad Animal,≤100
95878687102,Fundación Vicente Ferrer,Fundación Vicente Ferrer,≤100
217796341666041,Psoe Soria,PSOE Soria,≤100
244777995534742,Ayuda a la Iglesia Necesitada - ACN España,Ayuda a la Iglesia Necesitada,≤100
1811935085732429,Fiet Gratia,ONG DE DESARROLLO FIET GRATIA,≤100
57973661707,WWF España,WWF España,≤100
1597205110535229,Culligan Premium WATER,These ads ran without a disclaimer,≤100
267353906619818,Mr. Gugu & Miss Go,These ads ran without a disclaimer,≤100
113092447385,Twenergy,Twenergy,≤100
103693011035550,Santander Global,Banco Santander,≤100
256196396278,UNICEF España,UNICEF España,≤100
106069125824339,Antonio Platform,These ads ran without a disclaimer,≤100
115481008480109,LG Global,Good Rebels,≤100
103440262813668,Osoigo Next,Osoigo,≤100
685140315247660,Veredas de Encuentro,FUNDACIÓN JUAN BONAL,≤100
104626078500694,Theramex Spain,Theramex Healthcare Spain SLU,≤100
435788076516156,Fundación Cruz Blanca,Comunicación y Gestión de Medios ñ multimedia,≤100
178168275528158,Secretaría General Iberoamericana (SEGIB),Secretaría General Iberoamericana (SEGIB),≤100
1315729641865833,Fundación Columbus,Fundación Columbus,≤100
341793479830142,Padrinos por la Discapacidad,FUNDACIÓN JUAN BONAL,≤100
112890951401343,Alminuto,Alminutonoticias,≤100
247961738694147,Funky Marketing,These ads ran without a disclaimer,≤100
131917366935150,Zurich,Zurich,≤100
236357879772995,SEUR,SEUR,≤100
796716270345901,Ecoforest,Ecoforest,≤100
270587517074225,MySolarEnergy,MySolarEnergy,≤100
468082066665498,María Dolores Corujo Berriel,María Dolores Corujo,≤100
1422699408042390,FP Claudio Galeno,These ads ran without a disclaimer,≤100
340569499642887,In Género,In Género,≤100
610739155654291,Facultad de Trabajo Social Cuenca,Facultad de Trabajo Social de Cuenca,≤100
103865925500210,Dakart,dakart,≤100
76946314725,ATTAC España,ATTAC,≤100
150234575797,Esquerra Republicana de Catalunya,Esquerra Republicana de Catalunya,≤100
144709575593854,EESC - European Economic and Social Committee,EESC - European Economic and Social Committee,≤100
191375027559681,NIVEA,"NIVEA España (Beiersdorf, S.A.)",≤100
213195432085504,Dirección General de Tráfico - España,Dirección General de Tráfico - España,≤100
103641162364804,Ener2Crowd España,Ener2Crowd España,≤100
119814118041196,Falange Auténtica,Falange Auténtica,≤100
102466472520470,Tu Agrupación Socialista de Segorbe,Tu Agrupación Socialista de Segorbe,≤100
230443473984636,Fundación para el Avance de la Libertad,Fundación para el Avance de la Libertad,≤100
159665490863316,Cepsa,"COMPAÑÍA ESPAÑOLA DE PETRÓLEOS, S.A. (CEPSA)",≤100
450326391674911,Allianz,These ads ran without a disclaimer,≤100
366619768708,Plan International España,Plan International España,≤100
103667832795885,idenflag,These ads ran without a disclaimer,≤100
204908063581126,Generación SAVIA,Generación SAVIA - Fundación Endesa,≤100
603472633067552,IU-Aljaraque,IU-Aljaraque,≤100
103666368934364,Cyreneteam,These ads ran without a disclaimer,≤100
101820216165912,ATM Grupo Maggioli,These ads ran without a disclaimer,≤100
533345436722780,Perales Digital,These ads ran without a disclaimer,≤100
378875359494716,NutriNews España,These ads ran without a disclaimer,≤100
22893372268,BMW,These ads ran without a disclaimer,≤100
109586082182518,Sumar Cuenca,COALICIÓN ELECTORAL SUMAR,≤100
139153867956,Fundació Pasqual Maragall,Fundació Pasqual Maragall,≤100
198198820328526,Psoe La Rioja,PSOE La Rioja,≤100
288457887908776,LedsC4,These ads ran without a disclaimer,≤100
1399750283620746,Hidden City,These ads ran without a disclaimer,≤100
205332123261241,Знакомства RusDate,These ads ran without a disclaimer,≤100
117706891348378,Срочные Hовости,These ads ran without a disclaimer,≤100
108350544421634,How&Why,These ads ran without a disclaimer,≤100
216311481960,Bill Gates,These ads ran without a disclaimer,≤100
116603861327799,alex_sa.c,These ads ran without a disclaimer,≤100
