Page ID,Page name,Disclaimer,Amount spent (USD)
171870950030850,Teodoro Gallegos Salem,Benigno Teodoro Gallegos Salem,≤100
81089852182,U.S. Embassy Ecuador,Embassies: U.S. Embassy Ecuador,≤100
108555541323175,Voz Ciudadana,Juan Pablo Riquetti Morales,≤100
110259514765801,Mario Sánchez Plasencia,Mario Sánchez Plasencia,≤100
107735775460492,Infórmate Ecuador,Informate Ecuador,≤100
105896849068225,Great job,These ads ran without a disclaimer,≤100
387524221281304,Ministerio Turismo Ecuador,Alexandra Montero,≤100
108657847619569,Goberna Ecuador,Goberna Ecuador,≤100
486957511486639,Liderazgo Capacitación Ecuador,These ads ran without a disclaimer,≤100
1428310440732616,Sebastián Cevallos,Rodrigo Sebastian Cevallos Vivar,≤100
187653561280861,Josué Sánchez,Josué Sánchez,≤100
105539772365757,Mentordemy,Mentordemy,≤100
1025791137510876,Juan Fernando Flores,Juan Fernando Flores Arroyo,≤100
101056676141616,Asesoría Política - Goberna Ecuador,Goberna Ecuador S.A.S,≤100
234235390814565,Revista DATTA,Revista DATTA,≤100
102823644882450,Pedro Pablo Moran 2023,Pedro Pablo Moran Marchan,≤100
495225060514172,Degso,Gabriela Veronica Chango Hermoza,≤100
282373640238850,Marcos Suárez,Marcos Josue Suarez Altamirano,≤100
118171033143601,Celestino Chumpi Asambleísta,Celestino Chumpi Asambleísta,≤100
338317230108140,Autoridad de Tránsito y Vigilancia de Samborondón,Autoridad de Tránsito y Vigilancia de Samborondón,≤100
112468200193220,Karina Villasmil,These ads ran without a disclaimer,≤100
285530825204,Klitschko,These ads ran without a disclaimer,≤100
103239179205171,Filosofía al Hueso,These ads ran without a disclaimer,≤100
104979284820672,CIEEN,These ads ran without a disclaimer,≤100
