Page ID,Page name,Disclaimer,Amount spent (EUR)
519155634805463,Zeki Çeler,Zeki Çeler,≤100
100513596223095,Murat Şenkul,Murat Şenkul,≤100
108279412084089,Mahmut Özcınar,Mahmut Ozcinar,≤100
620027974738907,Γραφείο Τύπου και Πληροφοριών - Press and Information Office,PIO Cyprus,≤100
109466415295250,Şifa Çolakoğlu,Şifa Çolakoğlu,≤100
102159248914509,Dr. Süleyman Uluçay,Dr. Süleyman Uluçay,≤100
433315683785886,Hasan Sadıkoğlu,Hasan Sadıkoğlu,≤100
178362315106,European Parliament,European Parliament,≤100
162863994461073,Center for Social Innovation - CSI,Center for Social Innovation - CSI,≤100
2147276642205753,Κωνσταντίνος Χριστοφίδης 2023,Neo Kyma | Volt Cyprus,≤100
513057578804680,Nidai Güngördü,Nidai Güngördü,≤100
314432094055,ShootandGoal,Δημήτριος Χατζηαντώνη,≤100
197874087030899,Costas Mavrides - Κώστας Μαυρίδης,Costas Mavrides - Κώστας Μαυρίδης,≤100
107808801801558,Habibe ÇETİN,Sertan Mehmetali,≤100
699709590070377,Mehmet Harmancı,Mehmet Harmancı,≤100
1259389827467923,Cyprus Daily,Δημήτριος Χατζηαντώνη,≤100
638668976238472,Cyprus Times,Cyprus Times,≤100
698669730577000,Ygeiawatch,Ygeiawatch,≤100
104730922313108,Ανδρέας Μαυρογιάννης - Andreas Mavroyiannis,Ανδρέας Μαυρογιάννης - Andreas Mavroyiannis,≤100
103268228338042,Νατάσα Ιωάννου,Anastasia Ioannou,≤100
369722249746043,Ιερά Μητρόπολις Κωνσταντίας- Αμμοχώστου,Ιερά Μητρόπολις Κωνσταντίας- Αμμοχώστου,≤100
999438000148342,Σταύρος Παπαδούρης - Stavros Papadouris,Stavros Papadouris,≤100
358841031473567,ΧΡΥΣΗΣ ΠΑΝΤΕΛΙΔΗΣ,Χρυσανθος Παντελιδης,≤100
107898832590939,European Commission,European Commission,≤100
1536989789849794,Bağımsızlık Yolu,Bağımsızlık Yolu,≤100
103113405953696,Salih Oktay,Salih Oktay,≤100
109379988652594,Fuat Namsoy,Mediazet Reklam Ajansı,≤100
102944721782406,Γραφείο Επιτρόπου Επικοινωνιών,National CSIRT-CY,≤100
101989786067935,Sadık Gardiyanoğlu,Mediazet Reklam Ajansi,≤100
293704380825571,Δημοκρατικό Κόμμα,Δημοκρατικό Κόμμα,≤100
1776163029088275,Osman Bican,Osman Bican,≤100
892427880871702,Kalia Loizidou School Psychologist & Career Counselor,These ads ran without a disclaimer,≤100
822417261217421,Dr. Eleni Stavrou - Δρ Ελένη Σταύρου,Eleni Stavrou,≤100
101194455862998,Νίκος Χριστοδουλίδης - Nikos Christodoulides,Team Christodoulides2023,≤100
465987706758805,Όμιλος Βιοιατρική - Χημείο Γιαννουκά & Άλφα Εύρεσις,Όμιλος Βιοιατρική - Χημείο Γιαννουκά & Άλφα Εύρεσις,≤100
244607425634139,StockWatch Cyprus,Stockwatch,≤100
142976505811472,Masaryk University,These ads ran without a disclaimer,≤100
1531479000429406,"Water Board of Nicosia, Cyprus Συμβούλιο Υδατοπρομήθειας Λευκωσίας","Water Board of Nicosia, Cyprus",≤100
179573172114870,Elan Skis,These ads ran without a disclaimer,≤100
101447065969452,Reşat Kansoy,Reşat Kansoy,≤100
108864138491933,Ορθόδοξη Κύπρος,Dimitrios Daniil,≤100
100602882419283,SunSilva Oy,These ads ran without a disclaimer,≤100
799515186812344,Nemitsas Ltd.,Yiannis Pètevis,≤100
380431408783809,Pafos Municipality - Δημος Παφου,Pafos Municipality,≤100
1352874084790500,Fresenius Kabi,These ads ran without a disclaimer,≤100
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100
