Page ID,Page name,Disclaimer,Amount spent (EUR)
212485185449074,Nil Ushakov,"Nils Ušakovs, MEP, Socialists & Democrats Group",≤100
176171459061779,RUS TVNET,TVNET,≤100
326333184059682,TV3 Ziņas,TV3 Ziņas,≤100
524714174238878,Finanšu ministrija,Finanšu ministrija,≤100
178362315106,European Parliament,European Parliament,≤100
142254092456168,TVNET,TVNET,≤100
216716380356441,Nils Ušakovs,"Nils Ušakovs, MEP, Socialists & Democrats Group",≤100
595950207185585,Konservatīvie,KONSERVATĪVIE,≤100
122074554119,EU Social,EU Social,≤100
184096511636333,Progresīvie,PROGRESĪVIE,≤100
1545606205726717,Bez Tabu,TV3 Group,≤100
1014461302014447,Degpunktā,TV3 Group,≤100
313299475456889,iepirkumi.lv,"SIA ""Libera""",≤100
242579349104878,Mayeri Latvija,These ads ran without a disclaimer,≤100
102062354889119,Jānis Vitenbergs,These ads ran without a disclaimer,≤100
158021020892930,Apollo.lv,TVNET,≤100
215486111795023,Swedbank Latvia,Swedbank Latvia,≤100
108053880601905,Bilance PLZ - portāls grāmatvežiem un finanšu speciālistiem,"Lietišķās informācijas dienests, SIA",≤100
103230686391678,www.ir.lv,www.ir.lv,≤100
284661295478684,Chayka.lv Daugavpils,Chayka.lv Daugavpils,≤100
823558797998275,"Jaunatnes organizācija ""Protests""","Jaunatnes organizācija ""Protests""",≤100
830731453939371,WAGO.LV,"SIA ""INSTABALT LATVIA""",≤100
146599018696771,NATO,NATO,≤100
203733280310341,Gatis Eglītis,KONSERVATĪVIE,≤100
646580578713705,TV3 Play Latvija,TV3 Play Latvija,≤100
527351247377965,European Committee of the Regions,European Committee of the Regions,≤100
1087491177963859,EU vs Disinformation,These ads ran without a disclaimer,≤100
267353906619818,Mr. Gugu & Miss Go,These ads ran without a disclaimer,≤100
102635655320437,Number Match - Logic Puzzle Game,These ads ran without a disclaimer,≤100
